"sample_id"	"assigned"	"assigned_frac"	"atac_date"	"clone"	"condition"	"diff_start"	"donor"	"EB_formation"	"macrophage_diff_days"	"medium_changes"	"mt_frac"	"percent_duplication"	"received_as"	"sex"	"short_long_ratio"
"babk_D"	5507093	0.210921230312979	"2015-12-04"	2	"IFNg_SL1344"	"2015-10-12"	"babk"	"2015-10-09"	56	10	0.456376650921142	0.214115	"alive/frozen"	"female"	3.93397533197864
"bima_D"	23275756	0.677443730848284	"2014-12-12"	1	"IFNg_SL1344"	"2014-11-07"	"bima"	"2014-11-04"	38	6	0.117519740693119	0.079756	"alive"	"male"	2.9130719846891
"cicb_D"	19751751	0.579721263614574	"2015-04-24"	3	"IFNg_SL1344"	"2015-03-30"	"cicb"	"2015-03-27"	28	6	0.155462480193979	0.066931	"frozen"	"male"	1.78650919136278
"coyi_D"	6733642	0.31185057682225	"2015-11-05"	3	"IFNg_SL1344"	"2015-09-30"	"coyi"	"2015-09-27"	39	7	0.385297241068573	0.1026	"frozen"	"female"	2.53084184878867
"diku_D"	7010213	0.195160647410325	"2015-11-13"	1	"IFNg_SL1344"	"2015-10-15"	"diku"	"2015-10-12"	32	6	0.193993747097176	0.06893	"frozen"	"female"	3.76757978572267
"eipl_D"	16923025	0.519579168206653	"2015-08-04"	1	"IFNg_SL1344"	"2015-06-30"	"eipl"	"2015-06-27"	38	7	0.13988117725185	0.06944	"frozen"	"female"	1.93265133137896
"eiwy_D"	9807860	0.4044462839792	"2015-12-02"	1	"IFNg_SL1344"	"2015-10-23"	"eiwy"	"2015-10-20"	43	7	0.302453957654079	0.090776	"frozen"	"female"	1.75613407276057
"eofe_D"	25687477	0.645688915687569	"2014-12-12"	1	"IFNg_SL1344"	"2014-11-01"	"eofe"	"2014-10-29"	44	8	0.142640514763618	0.080655	"alive"	"female"	2.63757415618575
"fafq_D"	4600004	0.414696506879133	"2015-10-14"	1	"IFNg_SL1344"	"2015-09-16"	"fafq"	"2015-09-13"	31	5	0.169076649746682	0.087027	"frozen"	"male"	1.92922628617947
"febc_D"	31712153	0.430018180628596	"2015-08-04"	2	"IFNg_SL1344"	"2015-07-06"	"febc"	"2015-07-03"	32	6	0.400115313238623	0.106825	"frozen"	"female"	1.45678159498552
"fikt_D"	12120655	0.43249826902993	"2015-11-05"	3	"IFNg_SL1344"	"2015-10-03"	"fikt"	"2015-09-30"	36	5	0.301717390025625	0.090902	"frozen"	"female"	1.68462488275924
"guss_D"	13876015	0.433140013544195	"2015-11-18"	1	"IFNg_SL1344"	"2015-10-16"	"guss"	"2015-10-13"	36	5	0.356285810649081	0.080022	"frozen"	"female"	2.03502060233313
"hayt_D"	20369487	0.628709157220539	"2015-10-09"	1	"IFNg_SL1344"	"2015-09-12"	"hayt"	"2015-09-09"	30	6	0.309818415540119	0.102584	"frozen"	"male"	1.92932077333801
"hehd_D"	3964874	0.192481936100666	"2015-11-05"	2	"IFNg_SL1344"	"2015-09-30"	"hehd"	"2015-09-27"	39	8	0.248352910302544	0.097714	"frozen"	"female"	3.58283704670194
"heja_D"	17033933	0.533817355964094	"2015-08-12"	1	"IFNg_SL1344"	"2015-06-29"	"heja"	"2015-06-26"	47	9	0.114173433891483	0.080099	"frozen"	"male"	1.39981868677139
"hiaf_D"	7907908	0.219613703665739	"2015-07-22"	2	"IFNg_SL1344"	"2015-06-18"	"hiaf"	"2015-06-15"	37	7	0.087407665795477	0.045106	"frozen"	"male"	3.71903790659248
"iill_D"	12728643	0.50291828405585	"2015-11-05"	1	"IFNg_SL1344"	"2015-09-27"	"iill"	"2015-09-24"	42	7	0.276029290754818	0.08604	"frozen"	"male"	1.89858291866774
"kuxp_D"	12493577	0.438787848094188	"2015-07-22"	1	"IFNg_SL1344"	"2015-06-21"	"kuxp"	"2015-06-18"	34	6	0.188645298218458	0.068606	"frozen"	"male"	1.68808634956033
"nukw_D"	17850501	0.645243508607759	"2015-10-27"	1	"IFNg_SL1344"	"2015-09-23"	"nukw"	"2015-09-20"	46	7	0.234492649167015	0.104232	"frozen"	"female"	1.26760229695547
"oapg_D"	13706648	0.478080924747425	"2015-07-31"	5	"IFNg_SL1344"	"2015-06-21"	"oapg"	"2015-06-18"	43	7	0.211976949581975	0.064611	"frozen"	"female"	1.81448916921816
"oevr_D"	10181246	0.387041137247721	"2015-10-09"	3	"IFNg_SL1344"	"2015-08-30"	"oevr"	"2015-08-27"	48	8	0.171515043883457	0.102247	"frozen"	"male"	2.29579995766913
"pamv_D"	12568782	0.530024876051982	"2015-07-31"	3	"IFNg_SL1344"	"2015-07-01"	"pamv"	"2015-06-28"	33	6	0.226667604999457	0.083218	"frozen"	"male"	3.37640181895908
"pelm_D"	12885093	0.460903123941983	"2015-08-12"	3	"IFNg_SL1344"	"2015-07-03"	"pelm"	"2015-06-30"	43	8	0.141307760306748	0.056814	"frozen"	"female"	1.7075403478253
"podx_D"	15095740	0.498507670978346	"2015-07-22"	1	"IFNg_SL1344"	"2015-06-26"	"podx"	"2015-06-23"	29	5	0.278886251713605	0.076971	"frozen"	"female"	2.50667597769246
"qolg_D"	14636966	0.508384278972431	"2015-11-13"	3	"IFNg_SL1344"	"2015-10-10"	"qolg"	"2015-10-07"	29	6	0.345044067138392	0.079032	"frozen"	"male"	1.67190803527389
"sojd_D"	9616378	0.359051864041036	"2015-10-14"	3	"IFNg_SL1344"	"2015-09-11"	"sojd"	"2015-09-08"	36	7	0.218259508709228	0.076186	"frozen"	"female"	3.22064049478649
"vass_D"	21993598	0.572955943483222	"2015-04-24"	1	"IFNg_SL1344"	"2015-03-29"	"vass"	"2015-03-26"	29	7	0.193210532921721	0.07022	"frozen"	"female"	1.69032752731357
"xugn_D"	17505168	0.532266309510938	"2015-07-22"	1	"IFNg_SL1344"	"2015-06-11"	"xugn"	"2015-06-08"	44	8	0.128462362140362	0.07249	"frozen"	"male"	3.48786721342933
"zaui_D"	7297175	0.250887074437376	"2015-11-18"	3	"IFNg_SL1344"	"2015-10-11"	"zaui"	"2015-10-08"	41	9	0.219835807676744	0.073612	"frozen"	"female"	3.6017018666313
"uaqe_D"	10294277	0.356799693383731	"2015-10-27"	1	"IFNg_SL1344"	"2015-10-01"	"uaqe"	"2015-09-28"	"NA"	7	0.218277844876963	0.090727	"frozen"	"female"	4.59939570834911
"qaqx_D"	9562711	0.355390033860629	"2015-11-18"	1	"IFNg_SL1344"	"2015-10-01"	"qaqx"	"2015-09-28"	"NA"	11	0.30661352138567	0.072576	"frozen"	"female"	2.78684999474948
